name,address,online_order,book_table,location,restaurant_type,cuisines,category,city,votes,rating,cost_for_two
Cold Smith Ice Creams,"1630/1504/5, Kasavanahalli Main Road, Behind Bata Showroom, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",Desserts,Bellandur,41,3.9,450.0
Srinathji's,"5, KBR Mall Complex, Ground Floor, More Mega Store, Varthur Hobli, Marathahalli, Bangalore",Yes,Yes,Marathahalli,Casual Dining,"North Indian, Chinese, Continental, Street Food",Delivery,Bellandur,661,3.9,750.0
Sichuan,"164, Ground Floor, Green Glen Layout, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"Chinese, Asian, Seafood",Delivery,Bellandur,268,4.1,800.0
MoMo Cafe - Courtyard by Marriott,"Courtyard by Marriott, Marathahalli-Sarjapur Outer Ring Road, Bellandur, Bangalore",No,Yes,Bellandur,Casual Dining,"Asian, North Indian, South Indian, Momos",Dine-out,Bellandur,271,4.2,2000.0
Flamin Grill,"32/17, Shop 11&12, Outer Ring Road, Near Rasaganga Hotel, Bellandur, Bangalore",No,No,Bellandur,Casual Dining,"Lebanese, Turkish, BBQ, Burger",Delivery,Bellandur,10,3.5,600.0
INDULGE by InnerChef,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Bakery,"Desserts, Bakery",Desserts,Bellandur,22,3.6,400.0
Basaveshwara Khanavali,"Near MK Retail, Kaikondahalli Main Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,South Indian,Delivery,Bellandur,11,3.6,150.0
Baker's Home,"Shop No 1, 15th Cross, DR BR Ambedkar Circle, Devarabishanahalli, Bellandur, Bangalore",Yes,No,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts",Delivery,Bellandur,175,4.0,300.0
Rolls On Wheels,"18/2 A, Spencer's Mall Compound, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Quick Bites,"Fast Food, Rolls, Momos",Dine-out,Bellandur,132,3.5,300.0
Cafe Jezve,"Embassy Tech Village, Outer Ring Road, Deverabesanahalli, Bellandur, Bangalore",No,No,Bellandur,Cafe,Cafe,Dine-out,Bellandur,23,4.0,500.0
Homemade Delite,"HSR Layout, Sector 1, HSR, Bangalore",No,No,HSR,Takeaway,"Bakery, Desserts",Desserts,Bellandur,21,3.6,200.0
Reddy's Restaurant,"94, Narayanaswamy Building, Panathur Railway Station Road, Behind Chroma, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Andhra, Biryani, South Indian, Chinese",Delivery,Bellandur,6,3.4,500.0
Drunken Monkey,"Kiosk 3, Campus 4A-B Food Court, RMZ Ecoworld, Outer Ring Road, Bellandur",Yes,No,Bellandur,Kiosk,"Beverages, Fast Food",Dine-out,Bellandur,11,3.4,400.0
Karachi Bakery,"GRS Towers, Near Big Bazaar, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Bakery,"Bakery, Desserts",Delivery,Bellandur,16,3.7,400.0
Homifoo,"1105, 10th cross, 21st main, HSR, Sector 1",Yes,No,HSR,Quick Bites,North Indian,Delivery,Bellandur,11,3.5,300.0
Rolls Kitchen,"12, Kaverappa Layout, Kadubeesanahalli",Yes,No,Marathahalli,Quick Bites,"Fast Food, Rolls",Dine-out,Bellandur,7,3.2,250.0
Ambur Star Biryani,"7, Raghav Reddy Building, Opposite Wipro Gate, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Quick Bites,Biryani,Dine-out,Bellandur,22,3.5,200.0
Udupi Nalapaka,"55/2, Devarabisanahalli Ring Road, Off Sakra World Hospital, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"South Indian, North Indian, Chinese",Dine-out,Bellandur,37,3.7,400.0
California Burrito,"Food Court, Building 2D, Embassy Tech Village, Bellandur, Bangalore",No,No,Bellandur,"Food Court, Quick Bites","Mexican, Fast Food",Dine-out,Bellandur,23,3.7,400.0
Yummy Punjabi Delight,"5th Floor, Central Mall, Bellandur, Bangalore",No,No,Bellandur,Quick Bites,North Indian,Dine-out,Bellandur,6,3.2,500.0
The Paratha Company,"1554, Ground Floor, 19th Main, Sector 1, HSR, Bangalore",Yes,No,HSR,Delivery,North Indian,Delivery,Bellandur,166,4.3,400.0
Kava - Fairfield by Marriott,"Fairfield by Marriott, Marathahalli - Sarjapur Outer Ring Road, Bellandur, Bangalore",No,Yes,Bellandur,Casual Dining,"North Indian, South Indian, Continental",Dine-out,Bellandur,284,3.9,1500.0
The Rasaganga,"35, Outer Ring Road",Yes,No,Bellandur,Casual Dining,"South Indian, North Indian, Chinese, Street Food",Dine-out,Bellandur,404,3.7,500.0
Lassi Corner,"Kariyammana Agrahara, kadubesenahalli, Bellandur, Bangalore",No,No,Bellandur,Beverage Shop,"Beverages, Desserts",Delivery,Bellandur,9,3.2,300.0
Punjab Zone,"33/2, Outer Ring Road, Next to Maruti Showroom, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,North Indian,Dine-out,Bellandur,120,2.9,400.0
BG's Poolside Bar & Grill,"Courtyard & Fairfield by Marriott, Outer Ring Road, Bellandur, Bangalore",No,Yes,Bellandur,"Casual Dining, Bar","Mediterranean, Italian, Mexican",Drinks & nightlife,Bellandur,106,4.1,1600.0
Manchow,"2nd Floor, Sai Durga Enclave, 833/1, Outer Ring Road, Bellandur, Bangalore",Yes,Yes,Bellandur,Casual Dining,"Chinese, Asian, Momos",Dine-out,Bellandur,157,3.8,600.0
Kaka Singh,"RMZ Ecoworld, Back Gate, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,North Indian,Dine-out,Bellandur,42,2.6,400.0
Nanda's,"1558, 19th Main, Ring Road, Near Indian Oil Petrol Bunk, Sector 1, HSR, Bangalore",Yes,No,HSR,Casual Dining,"North Indian, Chinese, Andhra",Delivery,Bellandur,361,2.9,450.0
Eatwell Restaurant,"1st Floor, Opposite to Ocean Mounarda Apartment, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Biryani, Chinese, North Indian",Dine-out,Bellandur,8,3.0,400.0
Take EAT Easy,"Sharanya Arcade, Behind Bata Showroom, 1st cross KPTC Layout, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Takeaway, Delivery",North Indian,Delivery,Bellandur,20,3.6,200.0
McDonald's,"5/78/7, Ground Floor, Bangalore Central, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Burger, Fast Food",Delivery,Bellandur,258,3.2,500.0
DinePost9,"Near Madurai Idly, SGR Dental College Road, CKB Layout, Chandra Layout, Marathahalli, Bengalore",Yes,No,Marathahalli,Delivery,"North Indian, South Indian, Chinese, Continental",Delivery,Bellandur,798,3.8,450.0
Eating Love,"1630/1504/05, Ground Floor, Kasavanhalli Hobli, Behind Bata Show Room, Off Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Cafe,"Cafe, Italian, Pizza",Dine-out,Bellandur,149,4.3,800.0
Eat N Drinks,"Near Vakil Gardenia Apartments, Bellandur Main Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Kerala, Beverages",Delivery,Bellandur,7,3.4,150.0
Le Gateau - The Cake Shop,"33/4, Narayanamma Garden, 8th Cross, Konen Agrahara, Murugeshpalya, Old Airport Road, Bangalore",Yes,No,Old Airport Road,Delivery,"Desserts, Bakery",Delivery,Bellandur,536,4.4,600.0
The Kebab House,"74/2, Outer Ring Road, Bellandur Junction, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Kebab, Biryani",Delivery,Bellandur,49,4.3,250.0
InnerChef,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Delivery,"North Indian, Continental",Delivery,Bellandur,231,3.9,500.0
Sarjapur Social,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food",Dine-out,Bellandur,1193,4.6,1500.0
Mighty Paws,"533, 2nd Main, KPCL Layout, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Cafe,Cafe,Delivery,Bellandur,136,4.0,500.0
Baskin Robbins,"Ground Floor, Bangalore Central 3, Bellandur, Bangalore",Yes,No,Bellandur,Dessert Parlor,"Ice Cream, Desserts",Delivery,Bellandur,48,3.7,250.0
Soul Treat,"28/29, Maruthi Nagar, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Bakery,"Bakery, Desserts, Healthy Food",Desserts,Bellandur,269,4.3,750.0
Pabrai's Fresh & Naturelle Icecreams,"No 964, 965 M R Complex, 27th Main, HSR Layout, Sector 1, Bangalore",Yes,No,HSR,Dessert Parlor,"Ice Cream, Desserts",Delivery,Bellandur,324,4.3,180.0
eat.fit,"39/12, 5th Main Road, Iblur Village, Outer Ring Road, Behind Enzo Hotel, Bellandur, Bangalore",Yes,No,Bellandur,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",Desserts,Bellandur,632,4.4,500.0
Rayalaseema Chefs,"88, 1st Floor, VIMS Hospital Building, Outer Ring Road, Marathahalli, Bangalore",Yes,Yes,Marathahalli,Casual Dining,"North Indian, Biryani, Andhra, Chinese",Delivery,Bellandur,225,3.9,800.0
Dosa Time,"51, Kaikondrahalli Village, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Takeaway,South Indian,Delivery,Bellandur,106,3.8,200.0
Foodies Hub,"Central Jail Road, Kasavanahalli, Near Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"North Indian, South Indian, Seafood",Delivery,Bellandur,8,3.1,500.0
Flavours - Octave Hotel & Spa,"Octave Hotel & Spa, 14, Kailkondanahalli Village, Next to Total Mall, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Casual Dining,"North Indian, Chinese",Dine-out,Bellandur,197,3.0,700.0
Al Khwaja,"56, Srinivas Reddy Building, Devarabisanahalli",No,No,Bellandur,Casual Dining,"North Indian, Chinese",Dine-out,Bellandur,13,3.0,400.0
Chai World,"65/2, Next To Peters School, Beside I-Gate Optics, Sarjapura Main Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Tea, Beverages, Sandwich, Fast Food",Delivery,Bellandur,18,3.5,300.0
Flavours - Octave Hotel & Spa,"Octave Hotel & Spa, 14, Kailkondanahalli Village, Next to Total Mall, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Casual Dining,"North Indian, Chinese",Delivery,Bellandur,197,3.0,700.0
AKSHAYA BIRYANI,"15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Biryani, North Indian",Dine-out,Bellandur,20,3.6,300.0
Frozen Bottle,"65/1A, Opposite to Bata Show Room, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Beverage Shop,"Beverages, Desserts, Ice Cream",Desserts,Bellandur,13,3.6,400.0
Hokey Pokey Ice Creams,"5, Rasa Jeev, Ground Floor, Sree Complex, Kaikondanhalli, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",Desserts,Bellandur,75,3.9,350.0
The Belgian Waffle Co.,"2617, 27th Main, Sector 1, Opposite CPWD Complex, HSR, Bangalore",Yes,No,HSR,Dessert Parlor,"Desserts, Beverages",Delivery,Bellandur,129,4.1,350.0
Basmati Restaurant,"Opposite Passport Office, Near Sakra Hospital, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"Biryani, Andhra, North Indian, Chinese",Delivery,Bellandur,419,3.8,900.0
Mont Blanc Cafe,"SJR Complex, Beside Gear International School, Behind Adarsh Palm Retreat, Doddakannelli, Bellandur, Bangalore",Yes,No,Bellandur,Cafe,"Cafe, Bakery, Italian",Dine-out,Bellandur,35,3.8,650.0
Punjabi Times,"24-26, 414/80/2, Bellandur Village, Varthur Hobli, Outer Ring Road, Bellandur, Bangalore",Yes,Yes,Bellandur,"Casual Dining, Bar",North Indian,Delivery,Bellandur,1691,4.1,1100.0
Nandana Mess,"Srinivas Reddy Building, 2nd Main Road, Outer Ring Road, Bellandur, Bangalore",No,No,Bellandur,Mess,"South Indian, Chinese",Dine-out,Bellandur,7,3.4,350.0
Rusbury Fresh Sweets And Savouries,"2606, The Ambience, 27th Main Road, 16th cross, HSR Layout",Yes,No,HSR,Sweet Shop,"Mithai, Street Food",Delivery,Bellandur,65,4.0,200.0
Lassi Cafe,"5/3D, Opposite BRS Global School, Kasvanahalli, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Beverage Shop,"Beverages, Street Food, North Indian",Desserts,Bellandur,23,3.6,300.0
Byg Brewski Brewing Company,"Behind MK Retail, Sarjapur Road, Bangalore",Yes,Yes,Sarjapur Road,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",Delivery,Bellandur,16345,4.9,1600.0
Samosa Corner,"41, Balaji Residency, Opposite Sobha Marvella, Green Glen Layout, Bellandur, Bangalore",No,No,Bellandur,Quick Bites,Street Food,Dine-out,Bellandur,32,3.7,100.0
Pita Pit,"8A & 8B Building, RMZ Ecoworld, Food Court, Marathahalli Outer Ring Road, Deverabeesanahalli, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Healthy Food, Salad",Delivery,Bellandur,7,3.3,600.0
Pet Full @ 99,"5/1, SLN Building, Gear School Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,North Indian,Delivery,Bellandur,15,3.1,200.0
Warm Oven,"3, Srinivasa Nilayam, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Marathahalli, Bangalore",Yes,No,Marathahalli,Bakery,"Bakery, Desserts",Delivery,Bellandur,65,3.8,500.0
Chicken Shawarma Hub,"197/717/86/1, Green Glen Layout, Behind HDFC Bannk, Bellandur, Bangalore",No,No,Bellandur,"Takeaway, Delivery","Fast Food, Arabian, Beverages",Delivery,Bellandur,14,3.1,250.0
Devi's Cakes N Bakes,"6021, Sobha Dahlia, Bellandur, Bangalore",No,No,Bellandur,Bakery,"Bakery, Desserts",Desserts,Bellandur,31,3.6,200.0
Delhi Restaurant,"Kadubeesanhalli Circle, Outer Ring Road, near Cisco Cesna Tech Park , Marathahalli, Bangalore",Yes,No,Marathahalli,Quick Bites,"North Indian, Mughlai, Chinese",Dine-out,Bellandur,54,3.8,400.0
Flamin Grill,"32/17, Shop 11&12, Outer Ring Road, Near Rasaganga Hotel, Bellandur, Bangalore",No,No,Bellandur,Casual Dining,"Lebanese, Turkish, BBQ, Burger",Dine-out,Bellandur,10,3.5,600.0
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Delivery,Continental,Delivery,Bellandur,43,3.5,500.0
Papacream,"49, First Floor, Shubh Enclave, Haralur Main Road, Off Sarjapur Road, Bangalore",No,No,Sarjapur Road,Dessert Parlor,"Desserts, Ice Cream",Desserts,Bellandur,28,3.8,350.0
Muscat Restaurant,"Kaverappa Layout, Panathur Main Road, Kadubisanahalli, Marathahalli, Bangalore",Yes,No,Marathahalli,Quick Bites,"North Indian, Chinese",Delivery,Bellandur,47,3.0,400.0
Maa Vooru,"RMZ Eco World, Bellandur, Bangalore",No,No,Bellandur,Quick Bites,Fast Food,Dine-out,Bellandur,4,3.3,300.0
Shree Khana Khazana,"163, Shreyas Arcade, Green Glen Layout, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Chinese",Dine-out,Bellandur,166,4.2,450.0
Light House Cafe,"10/3, Devarabeesanahali, Outer Ring Road, Opposite Embassy Tech Park, Marathahalli, Bangalore",Yes,No,Marathahalli,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese",Cafes,Bellandur,94,3.7,700.0
Shanghai Bistro,"15/A, 1st Floor, Opposite Oceanus Monarda Apartments, Amrita College Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Casual Dining,"Chinese, Thai, Vietnamese",Dine-out,Bellandur,248,4.1,800.0
Float,"20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore",Yes,Yes,Marathahalli,"Casual Dining, Bar","North Indian, Japanese",Pubs and bars,Bellandur,3061,4.4,1500.0
Domino's Pizza,"102, 1st Floor, The Bay, RMZ Ecospace, Varthur Hobli, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Pizza, Fast Food",Dine-out,Bellandur,66,3.2,800.0
Fusion Tadka,"163, Shop 2, Shreyas Arcade, Opposite Appolo Pharmacy, Greenglen Layout, Bellandur, Bangalore",Yes,No,Bellandur,Delivery,"North Indian, Chinese",Delivery,Bellandur,34,3.7,450.0
B'Town Cafe & Restaurant,"Ground Floor, Fidelis Food Court, Cessena Tech Park, Kadubeesanahalli, Marathahalli, Bangalore",No,No,Marathahalli,Food Court,"Arabian, Continental",Dine-out,Bellandur,8,3.5,350.0
Udupi Aatithya,"74/8, Ground Floor, GMR Complex, Outer Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"South Indian, North Indian, Chinese",Dine-out,Bellandur,77,4.0,300.0
Mumbai Xpress,"4th Cross, Bellandur, Annaiah Reddy Layout, Opposite Mahaganapathi Temple, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Fast Food, Street Food",Delivery,Bellandur,89,2.9,350.0
Sarjapur Social,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food",Pubs and bars,Bellandur,1193,4.6,1500.0
Shake It Off,"Ground Floor, 42 Green Glen Layout, Sarjapur - Marathalli Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Beverage Shop,"Beverages, Fast Food",Delivery,Bellandur,60,4.0,600.0
Health Gourmet,"1378 1/1, Junnasandra, Opposite Wipro Corporate Office, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Takeaway, Delivery","Continental, American, Mediterranean, Healthy Food",Delivery,Bellandur,117,3.8,600.0
Cafe Jezve,"Embassy Tech Village, Outer Ring Road, Deverabesanahalli, Bellandur, Bangalore",No,No,Bellandur,Cafe,Cafe,Cafes,Bellandur,23,4.0,500.0
Mont Blanc Cafe,"SJR Complex, Beside Gear International School, Behind Adarsh Palm Retreat, Doddakannelli, Bellandur, Bangalore",Yes,No,Bellandur,Cafe,"Cafe, Bakery, Italian",Cafes,Bellandur,35,3.8,650.0
JW Kitchen - JW Marriott Bengaluru,"JW Marriott, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore",No,Yes,Lavelle Road,Fine Dining,"North Indian, Continental, Italian",Buffet,Brigade Road,2111,4.4,2200.0
Mainland China,"First Floor, 14, Church Street, Bangalore",Yes,Yes,Church Street,"Casual Dining, Bar","Chinese, Momos",Buffet,Brigade Road,1394,4.5,1700.0
The Tao Terraces,"5th Floor, 1 MG Mall, Opposite Vivanta by Taj, MG Road, Bangalore",Yes,Yes,MG Road,Casual Dining,"Thai, Japanese, Korean, Burmese, Chinese",Buffet,Brigade Road,1909,4.0,2100.0
The Spice Bazaar,"40/2, Lavelle Road, Bangalore",No,Yes,Lavelle Road,"Casual Dining, Bar","North Indian, Mughlai",Buffet,Brigade Road,347,4.2,1000.0
Ebony,"Barton Center, 84, 13th Floor, MG Road, Bangalore",Yes,Yes,MG Road,Casual Dining,"North Indian, South Indian",Buffet,Brigade Road,3126,4.3,1500.0
