name,address,online_order,book_table,location,restaurant_type,cuisines,category,city,votes,rating,cost_for_two
The Nosh House,"29, 1st Floor, 4th Cross, Kasavanahalli, Off Sarjapur Main Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",Delivery,Bellandur,220,4.3,600.0
California Burrito,"Food Court, Building 2D, Embassy Tech Village, Bellandur, Bangalore",No,No,Bellandur,"Food Court, Quick Bites","Mexican, Fast Food",Delivery,Bellandur,23,3.7,400.0
ReadyBowl,"3rd A Cross, Suresh Reddy Building, Ground Floor, Behind BBMP Office, Bellandur, Bangalore",Yes,No,Bellandur,"Takeaway, Delivery","Andhra, South Indian, North Indian, Biryani",Delivery,Bellandur,76,3.6,300.0
Blueberry Restaurant,"1614, Opp. Axis Bank, Near Grand City Super Market, Doddakannelli, Devarabisanahalli, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Biryani, South Indian",Delivery,Bellandur,36,3.7,400.0
Smoor,"RMZ Ecoworld Road, Adarsh Palm Retreat, Bellandur, Bangalore",Yes,No,Bellandur,Dessert Parlor,"Desserts, Beverages",Delivery,Bellandur,44,3.7,900.0
Murli,"207, Green Glen Layout, Opposite M.K. Ahmed Super Market, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"North Indian, Chinese, Street Food, Fast Food, Mithai",Delivery,Bellandur,1233,3.9,500.0
Milkyway Ice Creams,"RMZ Eco World Road, Adarsh Palm Retreat, Bellandur, Bangalore",Yes,No,Bellandur,Food Court,Ice Cream,Delivery,Bellandur,25,3.7,300.0
Domino's Pizza,"78/5, Sri Gowrikshna Arcade, Behind Central Mall, M.H. Colony, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Pizza, Fast Food",Delivery,Bellandur,260,3.6,800.0
Telugu Velugu,"Food Court, Building 8, Pritech Park, Adarsh Palm Retreat, Bellandur, Bangalore",No,No,Bellandur,Food Court,"South Indian, Biryani",Dine-out,Bellandur,6,3.0,300.0
Punjabi Chulla,"301/A, 3rd B Cross, Kariyappa Building, Behind BBMP Office, Bellandur Post, Bellandur, Bangalore",Yes,No,Bellandur,Delivery,North Indian,Delivery,Bellandur,9,3.2,300.0
Kya Khaoge,"40, 4th Cross Road, Vinayak Nagar, Konena Agrahara, Murgesh Pallya, Old Airport Road, Bangalore",Yes,No,Old Airport Road,Delivery,"North Indian, Chinese",Delivery,Bellandur,63,3.7,300.0
The Salad Studio,"Mint Plaza, Palm Avenue, Green Glen Layout, Bellandur, Bangalore",Yes,No,Bellandur,Cafe,"Cafe, Healthy Food, Salad",Cafes,Bellandur,107,4.0,400.0
Punjabi Dawat,"33/1, 33/2 Bellendur Outer Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Chinese",Delivery,Bellandur,248,2.9,400.0
Pasta Twist Plus,"Mantri Commercio, Kariyammana Agrahara, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"Fast Food, Continental",Delivery,Bellandur,20,2.6,400.0
Sarjapur Social,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food",Drinks & nightlife,Bellandur,1193,4.6,1500.0
Cake Box,"Salarpuria Sattva Aura, Kiosk 6, Foodworks Food Court, Block 11, Marathahalli - Sarjapur Outer Ring Road, Kaverappa Layout, Kadubeesanahalli, Marathahalli, Bangalore",Yes,No,Marathahalli,Bakery,"Bakery, Desserts",Desserts,Bellandur,24,2.9,400.0
Noodles,"The Bay, Campus 8A, RMZ Ecoworld, Bellandur, Bangalore",No,No,Bellandur,Food Court,Chinese,Dine-out,Bellandur,4,3.4,400.0
Oven Fresh,"Building 1, RMZ Ecoworld (SEZ), Sarjapur Outer Ring Road, Deverabeesanahalli, Bellandur, Bangalore",No,No,Bellandur,"Bakery, Food Court","Bakery, Fast Food",Desserts,Bellandur,8,3.2,600.0
